SEARCH_TERMS,TITLE,SUMMARY,KEYWORDS,PUBLISHED_DATE,LINK,SOURCE,SOURCE_URL,SENTIMENT,POLARITY,LAST_RUN_TIMESTAMP
Cyberattacks,Surgeons Need to Engage in Battle against Cyberattacks - The American College of Surgeons,,"['engage', 'battle', 'cyberattacks', 'surgeons', 'healthcare', 'data', 'cybersecurity', 'patient', 'organizations', 'information', 'devices', 'systems', 'medical', 'ransomware', 'schrader', 'phishing', 'young', 'hospitals', 'organization', 'attack', 'hospital', 'patients', 'cyberattack', 'vulnerable', 'practices', 'access', 'technology', 'security', 'blood', 'health', 'sensitive', 'risk', 'it’s', 'care', '2024']",2025-04-09,https://www.facs.org/for-medical-professionals/news-publications/news-and-articles/bulletin/2025/april-2025-volume-110-issue-4/surgeons-need-to-engage-in-battle-against-cyberattacks/,the american college of surgeons,https://www.facs.org,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,How to Defend Against Cyberattacks via IoT Devices - Facilitiesnet,,"['defend', 'devices', 'iot', 'cyberattacks', 'threat', 'ross', 'actors', 'data', 'cyber', 'access', 'organizations', 'facility', 'management', 'managers', 'key', 'edr', 'operations', '2025', 'facilities', 'environment', 'connected', 'network', 'defenses', 'challenge', 'we’re', 'effective', 'threats', 'iocs', 'alerts', 'response', 'business', 'backups', 'security', 'prioritize', 'planning']",2025-04-09,https://www.facilitiesnet.com/security/tip/how-to-defend-against-cyberattacks-via-iot-devices--55069,facilitiesnet,https://www.facilitiesnet.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,Investigation underway after cyberattack at Oregon DEQ - KPTV,,"['deq', 'investigation', 'underway', 'cyberattack', 'oregon', 'attack', 'shutting', 'networks', 'salem', 'ore', 'kptv', 'department', 'environmental', 'quality', 'agency', 'announced', 'enterprise', 'information', 'services', 'investigating', 'it’s', 'process', 'contained', 'potentially', 'eradicated', 'preemptively', 'minimize', 'spread', 'reaching', 'demanding', 'ransom', 'ransomware', 'apologize', 'inconvenience', 'release']",2025-04-09,https://www.kptv.com/2025/04/09/investigation-underway-after-cyberattack-oregon-deq/,kptv,https://www.kptv.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,Oregon Department of Environmental Quality under cyberattack - KGW,,"['cyberattack', 'oregon', 'department', 'environmental', 'quality', 'agency', 'deq', 'process', 'shutting', 'networks', 'attack', 'release', 'information', 'portland', 'ore', 'impact', 'announced', 'morning', 'provide', 'isolation', 'servers', 'network', 'totally', 'contained', 'potentially', 'eradicated', 'alerted', 'public', '11', 'm', 'taking', 'place', ""oregon's"", 'organization', 'enterprise']",2025-04-09,https://www.kgw.com/article/news/local/technology/oregon-department-of-environmental-quality-cyberattack/283-7410f10a-47db-465c-9321-d1bccf5cd78a,kgw,https://www.kgw.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,Cyberattacks : The new frontline in the Morocco-Algeria rivalry - Yabiladi.com,,"['frontline', 'morocco-algeria', 'rivalry', 'cyberattacks', 'algerian', 'moroccan', 'hackers', 'websites', 'national', 'website', 'ministry', 'breached', 'including', 'cyber', 'message', 'morocco', 'media', 'data', 'targeted', 'attacks', 'social', 'countries', 'targeting', 'incidents', 'morocco’s', 'leaving', 'flag', 'king', 'tsa', 'hacking', 'response', 'algeria', 'systems', 'tensions', 'recent']",2025-04-09,https://en.yabiladi.com/articles/details/163600/cyberattacks-frontline-morocco-algeria-rivalry.html,yabiladi.com,https://en.yabiladi.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,Two-Thirds of Financial Institutions Faced Cyberattacks in 2024 - Security Magazine,,"['cyberattacks', '2024', 'faced', 'institutions', 'two-thirds', 'attacks', 'application', 'security', 'respondents', '12', 'zero-day', 'experienced', 'months', '71', 'reported', 'key', 'concern', 'safeguarding', 'applications', 'apis', 'visibility', 'layer', 'wafs', 'attack', 'data', 'recent', 'contrast', 'report', 'revealed', 'sector', 'surge', '64', 'reporting', 'cybersecurity', 'incidents']",2025-04-09,https://www.securitymagazine.com/articles/101524-two-thirds-of-financial-institutions-faced-cyberattacks-in-2024,security magazine,https://www.securitymagazine.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,Cyberattack targets Oregon Department of Environmental Quality - KATU,,"['targets', 'oregon', 'department', 'cyberattack', 'environmental', 'quality', 'information', 'provide', 'agency', 'deq', 'enterprise', 'services', 'investigating', 'targeted', 'process', 'shutting', 'networks', 'isolation', 'servers', 'network', 'attack', 'totally', 'contained', 'potentially', 'eradicated', 'spokesperson', 'apologize', 'inconvenience', 'officials', 'update', 'end', 'day', 'significant', 'events', 'unfold']",2025-04-09,https://katu.com/news/local/cyberattack-targets-oregon-department-of-environmental-quality,katu,https://katu.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,Could cyberattacks leave Europe in the dark? - BetaNews,,"['leave', 'dark', 'europe', 'cyberattacks', 'energy', 'sector', 'cyber', 'report', 'highlights', 'security', 'awareness', 'training', 'knowbe4', 'threats', 'cybersecurity', 'phishing', 'technologies', 'threat', 'risk', 'utilities', '2022', 'surged', 'detection', 'attacks', 'reported', '2023', 'infrastructure', 'power', 'growing', 'reliance', 'digital', 'combined', 'geopolitical', 'tensions', 'sophisticated']",2025-04-09,https://betanews.com/2025/04/09/could-cyberattacks-leave-europe-in-the-dark/,betanews,https://betanews.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,Polish ruling party targeted in cyberattack ahead of presidential election - SC Media,,"['2025', 'polish', 'ruling', 'party', 'targeted', 'cyberattack', 'ahead', 'presidential', 'election']",2025-04-09,https://www.scworld.com/brief/polish-ruling-party-targeted-in-cyberattack-ahead-of-presidential-election,sc media,https://www.scworld.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,How AI-enhanced cyberattacks are redefining the modern threat landscape [Q&A] - BetaNews,,"['cyberattacks', 'redefining', 'modern', 'q', 'ai-enhanced', 'landscape', 'threat', 'threats', 'security', 'ai', 'attacks', 'phishing', 'organizations', 'concentrix', 'sophisticated', 'cyber', 'defenses', 'human', 'data', 'deepfake', 'bn', 'detect', 'awareness', 'training', 'develop', 'email', 'create', 'deepfakes', 'automation', 'effective', 'cybersecurity', 'traditional', 'level', 'ironscales', 'eb']",2025-04-09,https://betanews.com/2025/04/09/how-ai-enhanced-cyberattacks-are-redefining-the-modern-threat-landscape-qa/,betanews,https://betanews.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,New KnowBe4 report exposes critical cyber threats in European energy sector - World Pipelines,,"['exposes', 'critical', 'european', 'energy', 'sector', 'report', 'threats', 'cyber', 'knowbe4', 'cyberattacks', 'cybersecurity', 'pipeline', 'risk', 'europe', 'highlights', 'power', 'infrastructure', 'phishing', 'issue', 'world', 'pipelines', 'human', 'europe’s', 'digital', 'technologies', 'threat', 'research', 'utilities', '2022', 'surged', 'detection', 'attacks', 'reported', 'industry', '2023']",2025-04-09,https://www.worldpipelines.com/special-reports/09042025/new-knowbe4-report-exposes-critical-cyber-threats-in-european-energy-sector/,world pipelines,https://www.worldpipelines.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,Wireline is now the most vulnerable to cyber attacks: Netscout - Fierce Network,,"['cyber', 'attacks', 'wireline', 'netscout', 'vulnerable', 'networks', 'ai', 'ddos', 'wireless', 'wired', 'network', 'security', 'hummel', 'salt', 'typhoon', 'telecom', 'telcos', 'hackers', 'automation', 'operators', 'attack', 'breach', 'that’s', 'told', 'noted', 'technology', '2024', 'industries', 'hack', 'concerns', 'makes', 'easier', 'infrastructure', 'carriers', 'threat']",2025-04-09,https://www.fierce-network.com/broadband/wireline-now-most-vulnerable-cyber-attacks-netscout,fierce network,https://www.fierce-network.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,Why Enterprises Face AI Challenges & Cyberattack Hurdles - Cyber Magazine,,[],2025-04-09,https://cybermagazine.com/technology-and-ai/why-enterprises-struggle-with-ai-roi-cyberattack-recovery,cyber magazine,https://cybermagazine.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,"Enterprises are getting hit, staying down, and not seeing the benefits of AI investment - TechRadar",,"['enterprises', 'staying', 'benefits', 'investment', 'ai', 'hit', 'data', 'challenges', 'cloud', 'companies', 'nasuni', 'report', 'ai-ready', 'hybrid', '20', '96', 'average', 'weeks', 'businesses', 'facing', 'investments', 'management', 'grant', 'place', 'accessible', 'security', 'finds', 'face', 'downtime', 'cyberattack', 'experts', 'warn', 'promises', 'address', 'means']",2025-04-09,https://www.techradar.com/pro/enterprises-are-getting-hit-staying-down-and-not-seeing-the-benefits-of-ai-investment,techradar,https://www.techradar.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,Oregon DEQ hit by cyberattack - KGW,,"['oregon', 'deq', 'hit', 'cyberattack', 'video', 'title']",2025-04-09,https://www.kgw.com/video/news/crime/oregon-deq-hit-by-cyberattack/283-6a313b99-6c93-4a34-ac66-9a075170c1f8,kgw,https://www.kgw.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,Why Enterprises Struggle with AI ROI & Cyberattack Recovery - Technology Magazine,,[],2025-04-09,https://technologymagazine.com/cloud-and-cybersecurity/why-enterprises-struggle-with-ai-roi-cyberattack-recovery,technology magazine,https://technologymagazine.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,Morocco’s PJD Questions Government in Aftermath of Algeria’s Cyberattack - Morocco World News,,[],2025-04-09,https://www.moroccoworldnews.com/2025/04/189721/moroccos-pjd-questions-government-in-aftermath-of-algerias-cyberattack/,morocco world news,https://www.moroccoworldnews.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,OREGON DEPT. OF ENVIRONMENTAL QUALITY (DEQ) Update: State investigating cyberattack at DEQ - Tillamook County Pioneer,,"['deq', 'dept', 'state', 'update', 'investigating', 'cyberattack', 'oregon', 'environmental', 'quality', 'information', 'provide', 'salem', '25', 'enterprise', 'services', 'department', 'process', 'shutting', 'networks', 'isolation', 'agency', 'servers', 'network', 'attack', 'totally', 'contained', 'potentially', 'eradicated', 'end', 'day', 'significant', 'events', 'unfold', 'apologize', 'inconvenience']",2025-04-09,https://www.tillamookcountypioneer.net/oregon-dept-of-environmental-quality-deq-update-state-investigating-cyberattack-at-deq/,tillamook county pioneer,https://www.tillamookcountypioneer.net,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,Vodafone data: UK SMEs lose £3.4bn to cyber attacks - Capacity Media,,"['lose', '4bn', 'attacks', 'smes', 'vodafone', 'cyber', '£3', 'uk', 'data', 'cybersecurity', 'business', 'companies', 'employees', 'faced', 'training', 'added', 'digital', 'increasingly', 'long-term', 'businesses', 'study', 'average', 'incident', 'costs', 'small', '398', '50', 'figure', 'rises', '£5', '001', 'showcasing', 'increased', 'risk', 'growing']",2025-04-09,https://www.capacitymedia.com/article/vodafone-cyber-attacks,capacity media,https://www.capacitymedia.com,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,New guidance urges business leaders to strengthen cyber defences - Open Access Government,,"['urges', 'defences', 'cyber', 'business', 'leaders', 'strengthen', 'guidance', 'businesses', 'uk', 'code', 'threats', 'cybersecurity', 'organisations', 'guidelines', 'practice', 'protect', 'safeguard', 'companies', 'measures', 'secure', 'cybercrime', 'governance', 'risks', 'operations', 'potential', 'digital', 'services', 'growth', 'plan', 'attacks', 'security', 'online', 'released', 'directors', 'ensuring']",2025-04-09,https://www.openaccessgovernment.org/new-guidance-urges-business-leaders-to-strengthen-cyber-defences/191383/,open access government,https://www.openaccessgovernment.org,neutral,0.0,2025-04-09T23:14:32.949874
Cyberattacks,Cyberattack delays death row inmate's competency briefing - kjzz.com,,"['cyberattack', 'delays', 'row', ""inmate's"", 'briefing', 'death', 'competency', 'menzies', 'office', 'defense', 'reply', 'ralph', 'case', 'court', 'access', 'files', 'lost', 'file', 'state', '18', 'arguments', 'ransomware', 'attack', 'arizona', 'federal', 'public', 'defender’s', 'delayed', 'progress', 'penalty', 'attorneys', 'filed', 'motion', 'week', 'prepare']",2025-04-08,https://kjzz.com/news/local/cyberattack-delays-death-row-inmates-competency-briefing,kjzz.com,https://kjzz.com,neutral,0.0,2025-04-09T23:14:32.949874
