SEARCH_TERMS,TITLE,SUMMARY,KEYWORDS,PUBLISHED_DATE,LINK,SOURCE,SOURCE_URL,SENTIMENT,POLARITY,LAST_RUN_TIMESTAMP
Cyberattacks,China accuses US of launching cyberattacks during Asian Winter Games - Al Jazeera,"Police in the northeastern Chinese city of Harbin have accused the National Security Agency (NSA) of the United States of launching “advanced” cyberattacks during the Asian Winter Games in February, targeting essential industries.
The attacks had “the intention of sabotaging China’s critical information infrastructure, causing social disorder, and stealing important confidential information”, it added.
Three named individuals “repeatedly carried out cyber attacks on China’s critical information infrastructure and participated in cyber attacks on Huawei and other enterprises”, it added.
The US routinely accuses Chinese state-backed hackers of launching attacks against its critical infrastructure and government bodies.
In December, China said it found and dealt with two US cyberattacks on Chinese tech firms to “steal trade secrets” since May 2023, but did not name the agency involved.","['attacks', 'accused', 'report', 'winter', 'china', 'games', 'nsa', 'chinese', 'asian', 'information', 'agency', 'launching', 'cyberattacks', 'infrastructure', 'accuses', 'critical']",2025-04-15,https://www.aljazeera.com/news/2025/4/15/china-accuses-us-of-launching-cyberattacks-during-asian-winter-games,al jazeera,www.aljazeera.com,negative,-0.882,2025-04-16T16:47:26.736751
Cyberattacks,China reportedly admitted directing cyberattacks on US infrastructure - theregister.com,"Asia In Brief Chinese officials admitted to directing cyberattacks on US infrastructure at a meeting with their American counterparts, according to The Wall Street Journal.
The Journal last week reported that the admission was made at a December meeting between Chinese officials and Biden administration held in Geneva, Switzerland.
The Chinese delegation reportedly said their nation’s cyberattacks on US infrastructure were linked to America’s support for Taiwan.
China believes Taiwan is a rogue province and wants it to reunify with the mainland.
Alibaba Cloud expands outside China, againAlibaba Cloud last week brought more services out from behind the Great Firewall and into its overseas datacenters.","['taiwan', 'week', 'admitted', 'nations', 'china', 'chinese', 'reportedly', 'model', 'meeting', 'infrastructure', 'cyberattacks', 'mobile', 'officials', 'cloud']",2025-04-14,https://www.theregister.com/2025/04/14/asia_tech_news_in_brief/,theregister.com,www.theregister.com,positive,0.8225,2025-04-16T16:47:26.736751
Cyberattacks,Paper Werewolf Deploys PowerModul Implant in Targeted Cyberattacks on Russian Sectors - The Hacker News,"The threat actor known as Paper Werewolf has been observed exclusively targeting Russian entities with a new implant called PowerModul.
The malware is designed to deliver a next-stage payload, often a custom version of the Mythic framework agent known as PowerTaskel and QwakMyAgent.
""The shellcode is similar to what we saw in earlier attacks, but in addition contains an obfuscated Mythic agent, which immediately begins communicating with the command-and-control (C2) server.""
But in addition, it can send information about the targeted environment in the form of a ""checkin"" message, as well as execute other commands received from the C2 server as tasks.
""Recently, we have observed that GOFFEE is increasingly abandoning the use of PowerTaskel in favor of the binary Mythic agent during lateral movement.""","['files', 'deploys', 'implant', 'malicious', 'server', 'removable', 'russian', 'powermodul', 'targeted', 'threat', 'werewolf', 'sectors', 'media', 'cyberattacks', 'powertaskel', 'paper', 'used', 'c2', 'using']",2025-04-11,https://thehackernews.com/2025/04/paper-werewolf-deploys-powermodul.html,the hacker news,thehackernews.com,negative,-0.09,2025-04-16T16:47:26.736751
Cyberattacks,China acknowledges its role in years of cyberattacks against US over support of Taiwan: report - New York Post,"Chinese officials shocked their American counterparts during a secret meeting where they allegedly revealed Beijing was behind a series of cyberattacks against the US due to Washington’s support of Taiwan, according to a new report.
4 Nate Fick, America’s former ambassador for cyberspace and digital policy, was allegedly taken by surprise when China revealed its role in hacking attacks aimed at the US.
Beijing’s comment was especially shocking given that the US team wanted to give China a chance to dispel doubts that it was involved with the hacking attacks, the official added.
4 The US has warned that cyberattacks linked to Beijing against critical infrastructure could be tantamount to an act of war.
AFP via Getty ImagesBoth the Biden White House and President Trump’s transition team were informed about the secret meeting and the details discussed, the WSJ reported.","['taiwan', 'attacks', 'secret', 'war', 'acknowledges', 'report', 'hacking', 'china', 'support', 'meeting', 'beijing', 'cyberattacks', 'officials', 'role']",2025-04-10,https://nypost.com/2025/04/10/us-news/china-acknowledges-its-role-in-years-of-cyberattacks-against-us-over-support-of-taiwan-report/,new york post,nypost.com,negative,-0.9299,2025-04-16T16:47:26.736751
Cyberattacks,Poland Says Russian Cyberattacks Intensify Ahead of Vote - The Defense Post,"Poland’s ministry of digital affairs on Tuesday came out against what it said was a growing number of Russian cyberattacks, just one month ahead of the country’s presidential election.
Authorities in Poland, a staunch ally of neighbouring Ukraine, have warned in recent months that Moscow might seek to interfere with the May 18 election through cyberattacks and disinformation.
“Today we counted almost 2,000 incidents and the day is not over yet,” Krzysztof Gawkowski, Poland’s digital affairs minister, told news channel TVN24, adding that the uptick had begun at the start of the year.
“There are 60,000-70,000 attacks a month” of various sizes, he said, reiterating the view that Poland was “in cyberwar with Russia.”According to Gawkowski, Russian services are trying to trigger “emotions and panic” by targeting public structures such as water and electricity distribution systems.
The minister said that Russian military intelligence was “trying to recruit agents of influence at all costs,” paying them between “3,000 and 4,000 euros ($3,300 to $4,500) for 10 days’ work, to spread disinformation.”Gawkowski stressed that the government had rolled out several prevention measures to ramp up security ahead of the May 18 vote.","['gawkowski', 'month', 'minister', 'ahead', 'vote', 'intensify', 'poland', 'trying', 'polands', 'cyberattacks', 'russian', 'digital']",2025-04-16,https://thedefensepost.com/2025/04/16/poland-russian-cyberattacks/,the defense post,thedefensepost.com,neutral,0.0258,2025-04-16T16:47:26.736751
Cyberattacks,China issues warrants for 3 alleged NSA agents after Asian Winter Games hacked - South China Morning Post,"Three people described as agents of America’s National Security Agency (NSA) have been added to a wanted list by police in the northeastern Chinese city of Harbin for allegedly taking part in cyberattacks during the Asian Winter Games held in the city in February.
AdvertisementChinese cybersecurity experts accused the individuals of using artificial intelligence (AI) to launch the attacks.
“Investigations have revealed that these three agents have repeatedly participated in cyberattacks on China’s critical information infrastructure and in hacking activities against enterprises such as Huawei ,” the warrant stated.
No further information was disclosed about the suspects or their whereabouts.
AdvertisementThe police also accused the University of California and Virginia Tech of being involved in the attacks, but did not indicate how they were involved.","['agents', 'asian', 'alleged', 'involved', 'china', 'nsa', 'cyberattacks', 'national', 'suspects', 'information', 'spies', 'city', 'accused', 'winter', 'wanted', 'games', 'names', 'harbin', 'security']",2025-04-15,https://www.scmp.com/news/china/politics/article/3306582/china-names-3-alleged-nsa-spies-wanted-us-cyberattacks-asian-winter-games,south china morning post,www.scmp.com,negative,-0.6486,2025-04-16T16:47:26.736751
Cyberattacks,Chinese police accuse NSA of 'advanced' cyberattacks - TechRadar,"With real-time alerts, credit score tracking, and identity theft protection, it ensures you never miss important changes.
There were no details on the agents, or how the universities were involved in the attacks.
Cybersecurity researchers often warn about Chinese state-sponsored threat actors running cyber-espionage campaigns, malware attacks, and other forms of cybercrime against critical infrastructure in the West.
However, China always denies any involvement in these activities and instead accuses the US of being the world’s biggest cyber-bully.
In fact, on one occasion it said that Volt Typhoon, a known Chinese state-sponsored group was, in fact, a CIA asset.","['national', 'attacks', 'involved', 'credit', 'universities', 'accuse', 'report', 'nsa', 'important', 'chinese', 'security', 'cyberattacks', 'advanced', 'critical']",2025-04-15,https://www.techradar.com/pro/security/chinese-police-accuse-nsa-of-advanced-cyberattacks,techradar,www.techradar.com,negative,-0.9238,2025-04-16T16:47:26.736751
Cyberattacks,Industry Voices | Automotive Priority: Fighting Cyberattacks - Wards Auto,"2025 is the year manufacturers could find themselves at the center of the next big wave of cyberattacks – unless they double their investment in cybersecurity talent.
Related:Strange Bedfellows: Trump, Tariffs, UAWIndustries like healthcare, government and finance – those that most often come under fire from cyberattacks – are a treasure trove of cybersecurity talent.
Cyberattacks in healthcare and finance are largely consumer focused, as is the case in the automotive industry.
Hiring top cybersecurity talent is a prerequisite for a successful cybersecurity strategy.
Public-private partnerships are common in cybersecurity and an avenue the automotive industry must go down.","['industry', 'implement', 'vehicles', 'fighting', 'priority', 'talent', 'automotive', 'threat', 'vehicle', 'cybersecurity', 'manufacturers', 'strategy', 'cyberattacks']",2025-04-14,https://www.wardsauto.com/industry/industry-voices-automotive-priority-fighting-cyberattacks,wards auto,www.wardsauto.com,positive,0.9509,2025-04-16T16:47:26.736751
Cyberattacks,"Cyberattack shuts down Oregon DEQ systems, testing through Friday, agency says - KPTV","Oregon’s DEQ computer systems will be down through the end of the week following a cyberattack on Wednesday, the agency said.","['cyberattack', 'week', 'deq', 'systems', 'oregons', 'shuts', 'testing', 'following', 'agency', 'computer', 'oregon', 'end']",2025-04-10,https://www.kptv.com/video/2025/04/10/cyberattack-shuts-down-oregon-deq-systems-testing-through-friday-agency-says/,kptv,www.kptv.com,neutral,0.0,2025-04-16T16:47:26.736751
Cyberattacks,Manufacturers adapt to more AI-driven cyberattacks and increasing automation - RSM,"The manufacturing sector has been a top target for cyberattacks in recent years, highlighting the critical need for robust cybersecurity measures to safeguard sensitive information and maintain operational integrity.
A growing challenge in the manufacturing industry is the increased use of artificial intelligence by attackers, says David Carter, an industrials senior analyst at RSM US LLP.
With advanced AI, cybercriminals are creating more sophisticated phishing emails and other forms of attack that can deceive even the most vigilant employees.
This underscores the need for enhanced critical thinking and awareness among personnel to recognize and thwart such threats.
“Companies will have to ramp up training for end users and make changes to business processes to adapt to these evolving attack techniques.”","['aidriven', 'manufacturing', 'adapt', 'vigilant', 'attackers', 'write', 'increasing', 'attack', 'emails', 'automation', 'manufacturers', 'ai', 'cyberattacks', 'carter', 'need', 'critical']",2025-04-10,https://rsmus.com/insights/industries/manufacturing/2025-cybersecurity-mmbi-manufacturing-snapshot.html,rsm,rsmus.com,positive,0.5699,2025-04-16T16:47:26.736751
